Country Name,Country Code,Indicator Name,Indicator Code,Counterpart Country Name,Counterpart Country Code,Attribute,2024M2,
United Kingdom,112,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,France,132,Value,2466848948,
United Kingdom,112,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,France,132,Status,,
Canada,156,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Italy,136,Value,699472632,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Canada,156,Value,1058843775,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Canada,156,Status,r,
Italy,136,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United Kingdom,112,Value,2097480560,
Italy,136,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United Kingdom,112,Status,r,
United States,111,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Germany,134,Value,6014927400,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United States,111,Value,13405751032,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United States,111,Status,r,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United States,111,Value,3190760157,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United States,111,Status,r,
Canada,156,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Italy,136,Value,91242715,
Japan,158,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United States,111,Value,6910880851,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,France,132,Value,4526605008,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,France,132,Status,r,
United Kingdom,112,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United States,111,Value,5628407020,
United Kingdom,112,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United States,111,Status,,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Japan,158,Value,2050332439,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Japan,158,Status,r,
France,132,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United Kingdom,112,Value,3217830111,
France,132,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United Kingdom,112,Status,r,
Canada,156,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United States,111,Value,34671115606,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United Kingdom,112,Value,759815512,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United Kingdom,112,Status,r,
Canada,156,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Japan,158,Value,887809276,
Japan,158,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Canada,156,Value,966835931,
United States,111,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Italy,136,Value,5559967735,
United Kingdom,112,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Japan,158,Value,543136225,
United Kingdom,112,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Japan,158,Status,,
Japan,158,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,France,132,Value,767296450,
France,132,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Canada,156,Value,353638937,
France,132,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Canada,156,Status,r,
Canada,156,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Germany,134,Value,379900447,
United Kingdom,112,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Italy,136,Value,2954408443,
United Kingdom,112,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Italy,136,Status,,
Canada,156,"Goods, Value of Imports, Free on board (FOB), US Dollars",TMG_FOB_USD,United Kingdom,112,Value,563090728,
Canada,156,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United States,111,Value,23989901168,
Japan,158,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United States,111,Value,11567346849,
France,132,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Japan,158,Value,514333182,
France,132,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Japan,158,Status,r,
France,132,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Japan,158,Value,1244902316,
France,132,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Japan,158,Status,r,
France,132,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Italy,136,Value,5107474216,
France,132,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Italy,136,Status,r,
Japan,158,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Germany,134,Value,1705080491,
United Kingdom,112,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Italy,136,Value,961224808,
United Kingdom,112,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Italy,136,Status,,
Canada,156,"Goods, Value of Imports, Free on board (FOB), US Dollars",TMG_FOB_USD,Japan,158,Value,1332158767,
France,132,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United Kingdom,112,Value,2572996742,
France,132,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United Kingdom,112,Status,r,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Germany,134,Value,8407074226,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Germany,134,Status,r,
Italy,136,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United States,111,Value,4986512315,
Italy,136,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United States,111,Status,r,
France,132,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United States,111,Value,4414683770,
France,132,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United States,111,Status,r,
France,132,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Germany,134,Value,10846236668,
France,132,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Germany,134,Status,r,
Japan,158,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Germany,134,Value,1498000277,
Canada,156,"Goods, Value of Imports, Free on board (FOB), US Dollars",TMG_FOB_USD,Italy,136,Value,659879841,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Canada,156,Value,228877698,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Canada,156,Status,r,
France,132,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Canada,156,Value,283810225,
France,132,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Canada,156,Status,r,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,France,132,Value,12129748985,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,France,132,Status,r,
Germany,134,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,France,132,Value,6673750023,
Germany,134,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,France,132,Status,r,
Canada,156,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Germany,134,Value,1504860132,
Germany,134,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Italy,136,Value,6372010639,
Germany,134,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Italy,136,Status,r,
United States,111,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United Kingdom,112,Value,6441427248,
Italy,136,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Japan,158,Value,684635447,
Italy,136,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Japan,158,Status,r,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United Kingdom,112,Value,7644049527,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United Kingdom,112,Status,r,
Canada,156,"Goods, Value of Imports, Free on board (FOB), US Dollars",TMG_FOB_USD,United States,111,Value,22631982234,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Japan,158,Value,493092813,
Italy,136,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Japan,158,Status,r,
United Kingdom,112,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Japan,158,Value,622711998,
United Kingdom,112,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Japan,158,Status,,
Italy,136,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Germany,134,Value,6187024223,
Italy,136,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Germany,134,Status,r,
United Kingdom,112,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Canada,156,Value,372616713,
United Kingdom,112,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Canada,156,Status,,
Canada,156,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,France,132,Value,380379146,
United States,111,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,France,132,Value,4708487314,
Germany,134,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United States,111,Value,6639557754,
Germany,134,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United States,111,Status,r,
Japan,158,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,France,132,Value,583227432,
Canada,156,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,France,132,Value,590840828,
United States,111,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Canada,156,Value,33395174825,
Canada,156,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United Kingdom,112,Value,1719931277,
Italy,136,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Canada,156,Value,410804087,
Italy,136,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Canada,156,Status,r,
France,132,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Italy,136,Value,4765858275,
France,132,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Italy,136,Status,r,
United States,111,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,France,132,Value,4149431729,
United States,111,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Italy,136,Value,2737988584,
United States,111,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Germany,134,Value,12316000635,
United Kingdom,112,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Germany,134,Value,3513965065,
United Kingdom,112,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Germany,134,Status,,
Japan,158,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United Kingdom,112,Value,934256745,
United States,111,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United Kingdom,112,Value,5224199275,
United Kingdom,112,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Germany,134,Value,7425808993,
United Kingdom,112,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Germany,134,Status,,
France,132,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United States,111,Value,3965899745,
France,132,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United States,111,Status,r,
Canada,156,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United Kingdom,112,Value,596876172,
Canada,156,"Goods, Value of Imports, Free on board (FOB), US Dollars",TMG_FOB_USD,Germany,134,Value,1419679369,
France,132,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Germany,134,Value,7429564683,
France,132,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Germany,134,Status,r,
Japan,158,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Canada,156,Value,834352508,
United Kingdom,112,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Canada,156,Value,587344988,
United Kingdom,112,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Canada,156,Status,,
United Kingdom,112,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,France,132,Value,4081100333,
United Kingdom,112,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,France,132,Status,,
Canada,156,"Goods, Value of Imports, Free on board (FOB), US Dollars",TMG_FOB_USD,France,132,Value,557397008,
Japan,158,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Italy,136,Value,847824741,
United States,111,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Canada,156,Value,28499899189,
United States,111,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Japan,158,Value,11698309469,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Italy,136,Value,8459902018,
Germany,134,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Italy,136,Status,r,
Germany,134,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Japan,158,Value,1268401297,
Germany,134,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Japan,158,Status,r,
United States,111,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Japan,158,Value,6117464130,
Italy,136,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,France,132,Value,5157306590,
Italy,136,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,France,132,Status,r,
United Kingdom,112,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United States,111,Value,6201857825,
United Kingdom,112,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,United States,111,Status,,
Japan,158,"Goods, Value of Exports, Free on board (FOB), US Dollars",TXG_FOB_USD,Italy,136,Value,490407214,
Germany,134,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Canada,156,Value,554511833,
Germany,134,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Canada,156,Status,r,
Canada,156,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,Japan,158,Value,1412088293,
Germany,134,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United Kingdom,112,Value,2883954755,
Germany,134,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United Kingdom,112,Status,r,
Japan,158,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",TMG_CIF_USD,United Kingdom,112,Value,520986570,
France,132,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Canada,156,Value,69828712,
United Kingdom,112,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Italy,136,Value,-1993183635,
Italy,136,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Japan,158,Value,191542634,
Italy,136,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Canada,156,Value,181926389,
Japan,158,"Goods, Value of Trade Balance, US Dollars",TBG_USD,United Kingdom,112,Value,413270175,
France,132,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Italy,136,Value,-341615941,
United States,111,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Italy,136,Value,-2821979151,
Canada,156,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Japan,158,Value,-524279017,
Japan,158,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Italy,136,Value,-357417527,
France,132,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Germany,134,Value,-3416671985,
France,132,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Japan,158,Value,730569134,
Germany,134,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Canada,156,Value,504331942,
Japan,158,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Canada,156,Value,132483423,
United States,111,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Japan,158,Value,-5580845339,
United Kingdom,112,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Canada,156,Value,214728275,
United States,111,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Canada,156,Value,-4895275636,
United States,111,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Germany,134,Value,-6301073235,
United States,111,"Goods, Value of Trade Balance, US Dollars",TBG_USD,France,132,Value,-559055585,
Canada,156,"Goods, Value of Trade Balance, US Dollars",TBG_USD,United States,111,Value,10681214438,
Germany,134,"Goods, Value of Trade Balance, US Dollars",TBG_USD,United Kingdom,112,Value,4760094772,
Germany,134,"Goods, Value of Trade Balance, US Dollars",TBG_USD,United States,111,Value,6766193278,
Germany,134,"Goods, Value of Trade Balance, US Dollars",TBG_USD,France,132,Value,5455998962,
Italy,136,"Goods, Value of Trade Balance, US Dollars",TBG_USD,United Kingdom,112,Value,1337665048,
United Kingdom,112,"Goods, Value of Trade Balance, US Dollars",TBG_USD,France,132,Value,-1614251385,
United Kingdom,112,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Japan,158,Value,-79575773,
Italy,136,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Germany,134,Value,-2220050003,
Canada,156,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Germany,134,Value,-1124959685,
Canada,156,"Goods, Value of Trade Balance, US Dollars",TBG_USD,United Kingdom,112,Value,1123055105,
Canada,156,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Italy,136,Value,-608229917,
United Kingdom,112,"Goods, Value of Trade Balance, US Dollars",TBG_USD,United States,111,Value,573450805,
United Kingdom,112,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Germany,134,Value,-3911843928,
Japan,158,"Goods, Value of Trade Balance, US Dollars",TBG_USD,United States,111,Value,4656465998,
Italy,136,"Goods, Value of Trade Balance, US Dollars",TBG_USD,France,132,Value,630701582,
United States,111,"Goods, Value of Trade Balance, US Dollars",TBG_USD,United Kingdom,112,Value,1217227973,
France,132,"Goods, Value of Trade Balance, US Dollars",TBG_USD,United States,111,Value,-448784025,
France,132,"Goods, Value of Trade Balance, US Dollars",TBG_USD,United Kingdom,112,Value,644833369,
Germany,134,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Italy,136,Value,2087891379,
Germany,134,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Japan,158,Value,781931142,
Japan,158,"Goods, Value of Trade Balance, US Dollars",TBG_USD,Germany,134,Value,-207080214,
Japan,158,"Goods, Value of Trade Balance, US Dollars",TBG_USD,France,132,Value,-184069018,
Italy,136,"Goods, Value of Trade Balance, US Dollars",TBG_USD,United States,111,Value,1795752158,
Canada,156,"Goods, Value of Trade Balance, US Dollars",TBG_USD,France,132,Value,-210461682,